participant,run,trialNum2,CDA.ISCR,CDA_nSCR,CDA_PhasicMax,CDA_Tonic,TTP.AmpSum,TTP_nSCR,EventName
6,1,1,6.637,2,4.5183,16.6216,0.6088,1,7
6,1,2,1.0248,1,0.5097,16.6212,0.0,0,7
6,1,3,0.0239,1,0.0901,16.592,0.0,0,7
6,1,4,0.9554,1,0.8296,16.4851,0.1163,1,7
6,1,5,0.8618,0,0.8239,16.2497,0.0,0,1
6,1,6,0.0957,0,0.1273,16.1018,0.0,0,1
6,1,7,0.0,0,0.1374,16.0074,0.0,0,1
6,1,8,3.2527,1,2.9843,15.905,2.031,1,1
6,1,9,1.2404,0,1.5208,15.9716,0.0,0,3
6,1,10,0.4814,2,0.1855,16.1132,0.0,0,3
6,1,11,0.0145,0,0.0593,16.0265,0.0,0,3
6,1,12,2.0325,0,3.5982,15.8729,0.9428,1,3
6,1,13,0.6495,1,0.2912,15.7461,0.0,0,6
6,1,14,0.0754,0,0.2071,15.6847,0.0,0,6
6,1,15,0.0,0,0.0,15.5743,0.0,0,6
6,1,16,1.1309,1,1.1237,15.4109,0.0,0,6
6,1,17,0.5853,1,0.39,15.4032,0.0,0,7
6,1,18,0.0,0,0.0,15.4489,0.0,0,7
6,1,19,3.3135,1,2.5425,15.4116,0.0,0,7
6,1,20,0.1845,1,0.0796,15.3354,0.0,0,7
6,1,21,0.0,0,0.041,15.2702,0.0,0,2
6,1,22,0.0,0,0.0035,15.1743,0.0,0,2
6,1,23,1.762,1,1.2219,15.0747,0.2844,1,2
6,1,24,0.3379,1,0.1416,15.0119,0.0,0,2
6,1,25,0.098,1,0.0508,14.9727,0.0,0,4
6,1,26,0.0324,0,0.0389,14.9397,0.0,0,4
6,1,27,0.7915,1,0.6096,14.8999,0.0,0,4
6,1,28,0.0127,0,0.0781,14.8904,0.0,0,4
6,1,29,0.1707,1,0.0975,14.8924,0.0,0,5
6,1,30,0.0,0,0.0093,14.8663,0.0,0,5
6,1,31,0.0,0,0.0042,14.8193,0.0,0,5
6,1,32,0.0185,0,0.1082,14.7711,0.0,0,5
6,2,1,1.3364,1,1.2587,17.4669,0.0,0,7
6,2,2,0.4867,1,0.7396,17.4403,0.0859,1,7
6,2,3,1.9389,1,1.8161,17.1942,0.0,0,7
6,2,4,0.0729,0,0.0808,16.9419,0.0,0,7
6,2,5,1.0972,1,1.0639,16.7292,0.0,0,1
6,2,6,0.0869,0,0.3888,16.5198,0.2743,1,1
6,2,7,0.9959,1,0.6958,16.3744,0.0594,1,1
6,2,8,0.3111,2,0.1336,16.2824,0.0,0,1
6,2,9,0.0,0,0.0,16.2155,0.0,0,5
6,2,10,3.2599,1,3.0459,16.1979,0.0,0,5
6,2,11,0.2998,1,0.177,16.1929,0.0,0,5
6,2,12,0.2325,3,0.0941,15.9752,0.0,0,5
6,2,13,0.0,0,0.0468,15.7736,0.0,0,4
6,2,14,0.8553,1,0.5413,15.7065,0.0,0,4
6,2,15,0.0693,0,0.2102,15.7332,0.0,0,4
6,2,16,0.0579,0,0.8819,15.755,0.0,0,4
6,2,17,0.0,0,0.1693,15.7986,0.0,0,7
6,2,18,6.311,2,4.3408,16.1274,0.0,0,7
6,2,19,0.0,0,0.0,17.2602,0.0,0,7
6,2,20,2.8692,1,2.5648,17.5898,0.0,0,7
6,2,21,0.0,0,0.1188,17.3047,0.0,0,2
6,2,22,0.0,0,0.0,16.8845,0.0,0,2
6,2,23,0.3628,1,0.131,16.4207,0.0,0,2
6,2,24,0.0,0,0.0484,16.0817,0.0,0,2
6,2,25,0.5709,1,0.7529,16.2039,0.1462,1,6
6,2,26,0.9157,1,0.6935,16.3822,0.0,0,6
6,2,27,0.0045,0,0.051,16.4627,0.0,0,6
6,2,28,0.743,0,0.2825,16.0898,0.0,0,6
6,2,29,0.573,0,0.2204,15.7009,0.0,0,3
6,2,30,0.2278,0,0.1063,15.5838,0.0,0,3
6,2,31,0.0,0,0.0209,15.4817,0.0,0,3
6,2,32,1.0712,1,1.2469,15.439,0.0,0,3
6,3,1,4.0517,1,4.6874,16.7518,1.46,1,7
6,3,2,0.8915,1,0.751,16.7865,0.0,0,7
6,3,3,2.2639,1,2.3155,16.8526,0.0,0,7
6,3,4,0.7873,0,1.1099,16.8355,0.0898,1,7
6,3,5,0.6757,1,0.4299,16.7537,0.0,0,2
6,3,6,0.0162,1,0.0503,16.5959,0.0,0,2
6,3,7,0.3705,1,0.3132,16.3799,0.0184,1,2
6,3,8,0.0653,0,0.0325,16.1392,0.0,0,2
6,3,9,0.4832,2,0.3178,15.9169,0.0337,1,4
6,3,10,1.0149,1,0.7644,15.7732,0.0,0,4
6,3,11,0.3052,0,0.612,15.6876,0.0,0,4
6,3,12,0.1349,0,0.0826,15.628,0.0,0,4
6,3,13,0.6141,3,0.2183,15.3996,0.0,0,5
6,3,14,0.2967,1,0.1336,15.1676,0.0,0,5
6,3,15,0.0585,0,0.0372,15.0902,0.0,0,5
6,3,16,0.771,1,0.3554,14.9071,0.0,0,5
6,3,17,2.887,0,3.7168,14.4965,1.2606,1,7
6,3,18,4.8894,1,3.9379,14.5795,0.0,0,7
6,3,19,0.338,1,0.1604,15.179,0.0,0,7
6,3,20,0.7525,1,0.4251,15.2223,0.0,0,7
6,3,21,0.0,0,0.0024,15.1119,0.0,0,1
6,3,22,5.6332,0,3.676,15.158,0.0,0,1
6,3,23,0.0288,0,0.0653,15.4057,0.0,0,1
6,3,24,0.0,0,0.3461,15.6388,0.0,0,1
6,3,25,2.6031,1,1.869,15.6481,0.4086,1,3
6,3,26,0.0426,0,0.0376,15.6017,0.0,0,3
6,3,27,0.0,0,0.0057,15.5253,0.0,0,3
6,3,28,0.0292,0,0.0351,15.3989,0.0,0,3
6,3,29,0.0145,0,0.0251,15.2423,0.0,0,6
6,3,30,1.1201,1,0.9185,15.117,0.2434,1,6
6,3,31,1.8479,1,1.2553,15.0676,0.0,0,6
6,3,32,0.0,0,0.0438,15.0626,0.0,0,6
6,4,1,4.0839,1,4.6986,16.6024,0.0,0,7
6,4,2,0.5229,1,0.2069,16.5702,0.0,0,7
6,4,3,0.0,0,0.0155,16.4076,0.0,0,7
6,4,4,0.0,0,0.0,16.1851,0.0,0,7
6,4,5,0.1328,0,0.3187,15.9444,0.0,0,4
6,4,6,0.2112,0,0.2717,15.7311,0.0,0,4
6,4,7,0.018,0,0.015,15.5282,0.0,0,4
6,4,8,0.2425,2,0.0957,15.3153,0.0,0,4
6,4,9,0.2082,1,0.0903,15.0862,0.0,0,1
6,4,10,0.3601,0,1.5646,14.9727,3.5554,1,1
6,4,11,6.8096,1,4.8731,15.0049,0.0,0,1
6,4,12,1.2661,1,1.7451,15.5255,0.0,0,1
6,4,13,0.3829,1,0.2558,15.7367,0.0,0,3
6,4,14,0.0,0,0.0,15.5948,0.0,0,3
6,4,15,0.0438,0,0.0441,15.3469,0.0,0,3
6,4,16,1.3472,0,0.5325,14.9026,0.0,0,3
6,4,17,8.9367,2,4.0077,14.3359,0.0,0,7
6,4,18,3.1164,1,1.9829,14.37,0.0,0,7
6,4,19,0.3185,2,0.1182,14.6587,0.0,0,7
6,4,20,0.0233,0,0.0552,14.8159,0.0,0,7
6,4,21,0.0,0,0.0,14.7625,0.0,0,5
